#OK
#SQL= select indexNode.treeId, indexNode.haloId, indexNode.descendantId, node.firstHaloInFOFgroupId, node.snapNum, node.redshift, node.m_tophat, node.np, node.x, node.y, node.z, node.velX, node.velY, node.velZ, node.spinX, node.spinY, node.spinZ, node.halfmassRadius, node.mostBoundID from millimil..MPAHalo node, millimil..MPAHalo root, millimil..MPAHalo indexNode where root.haloId = node.treeId and node.haloId = indexNode.haloId and root.m_tophat > 1.0e2 and root.m_tophat < 1.1e2 order by indexNode.treeId
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2012-10-11 00:53:59.647 CEST
#QUERYTIME 410 millisec
#COLUMN 1 name=treeId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=haloId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 3 name=descendantId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=firstHaloInFOFgroupId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=snapNum JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 6 name=redshift JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=m_tophat JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 9 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=velX JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=velY JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=velZ JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=spinX JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=spinY JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=spinZ JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=halfmassRadius JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=mostBoundID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
treeId,haloId,descendantId,firstHaloInFOFgroupId,snapNum,redshift,m_tophat,np,x,y,z,velX,velY,velZ,spinX,spinY,spinZ,halfmassRadius,mostBoundID
79000000,79000039,79000038,79000039,24,3.8656828,2.2377074,35,15.864461,27.464067,24.602057,2.4914923,6.0979075,-115.48481,0.029671753,0.024279125,0.024177028,0.011792338,1772220
79000000,79000053,79000052,79000053,33,1.9126327,3.2704954,46,16.15715,27.806147,24.253067,-34.301304,-31.790407,-230.00069,0.15857029,0.08071536,-0.005246232,0.019711036,1802841
79000000,79000054,79000053,79000054,32,2.0700274,2.6680357,43,16.179213,27.824646,24.368715,-28.906378,-31.224081,-216.52296,0.13973439,0.15824169,-0.028795078,0.02221634,1802616
79000000,79000089,79000021,79000022,41,0.98870814,0.0,90,16.150116,27.698578,23.51653,-69.68693,-225.14021,-182.28343,-0.19678202,0.08006595,-0.03999419,0.0144420015,1802428
79000000,79000090,79000089,79000023,40,1.0778745,0.0,116,16.177713,27.810665,23.600101,-61.10467,-181.58157,-153.3696,-0.2767646,0.086923786,0.08331149,0.018595794,1802898
79000000,79000103,79000102,79000103,27,3.060419,6.024597,110,16.39102,28.673418,24.49515,-13.3857765,-64.38985,-98.26881,-0.75335705,0.13645172,0.07728766,0.022104135,1802888
79000000,79000104,79000103,79000104,26,3.3080978,6.1106625,72,16.434467,28.710213,24.555784,-21.351885,-64.77236,-119.81515,-0.34835565,0.11059625,-0.06742598,0.012913695,1802881
79000000,79000139,79000138,79000139,42,0.9054624,6.4549255,73,15.72414,27.078468,23.170492,61.336586,-37.350048,-137.63599,-0.14691296,0.029246092,0.030784186,0.020956593,1884736
79000000,79000140,79000139,79000140,41,0.98870814,6.196728,69,15.68782,27.098703,23.241014,59.37906,-40.28659,-136.32033,-0.080199376,-0.0821486,0.06949066,0.021325473,1884736
79000000,79000153,79000152,79000153,28,2.8311827,1.8934448,26,15.361196,27.425951,24.118547,10.12965,-38.461376,-87.29557,0.031616528,-0.021111546,0.07831283,0.012205679,1884725
79000000,79000154,79000153,79000154,27,3.060419,0.60245967,24,15.3052435,27.46833,24.117126,14.4260235,-39.05811,-82.61927,0.030164042,-0.037813757,0.061041616,0.020124696,1884679
79000000,79000189,79000188,79000189,29,2.6188614,2.2377074,39,14.989257,28.04214,24.261124,24.007595,-30.810331,-107.7394,0.0045050303,-0.037102453,0.025387775,0.013901153,1887850
79000000,79000190,79000189,79000190,28,2.8311827,0.516394,37,14.998443,28.034492,24.309462,23.639582,-31.91693,-101.17973,-0.16765335,-0.1384302,0.05673175,0.019846424,1887848
79000000,79000203,79000202,79000203,53,0.2798018,34.082005,420,15.690296,26.591812,22.230581,44.992508,-8.770209,-117.53774,-0.82994545,-0.20848913,-1.1899424,0.04753886,1921664
79000000,79000204,79000203,79000204,52,0.31970343,33.99594,424,15.674006,26.595835,22.274113,44.073822,-8.328657,-119.23849,-0.82600594,-0.20628867,-1.013158,0.0465225,1918446
79000000,79000239,79000238,79000239,38,1.2758462,3.18443,46,15.2797365,26.515789,23.374195,56.709026,64.20386,-187.69348,-0.014956269,0.22926295,-0.284374,0.025632577,1918551
79000000,79000240,79000239,79000240,37,1.3857181,2.9262328,32,15.248428,26.466002,23.479733,48.410767,63.861782,-179.5762,0.08880747,0.017339082,-0.2580888,0.015492405,1918551
79000000,79000253,79000252,79000214,42,0.9054624,0.0,106,15.589627,26.533411,22.724371,-5.7495008,20.693697,-80.27914,-0.056608755,0.026275171,-0.17532496,0.019983545,1921731
79000000,79000254,79000253,79000254,41,0.98870814,10.586078,110,15.587044,26.529438,22.77493,1.4590472,13.704782,-85.45298,-0.005245649,-0.05305108,-0.2031427,0.017009726,1921719
79000000,79000010,79000009,79000010,53,0.2798018,86.15173,945,15.978381,27.156712,22.645994,-24.643816,-98.972015,-153.25847,0.87411207,-0.556651,0.4080896,0.0726184,1805856
79000000,79000033,79000032,79000033,30,2.422044,3.7008238,70,15.876737,27.52331,24.181675,3.3433197,27.499617,-142.21034,0.016184747,0.15425849,0.12532671,0.021252036,1772225
79000000,79000040,79000039,79000040,23,4.1794686,1.1188537,31,15.817805,27.42437,24.624216,2.5969076,5.95325,-116.52599,0.04791813,0.018517315,0.028851343,0.016791213,1772224
79000000,79000067,79000066,79000030,33,1.9126327,0.0,52,15.995702,27.849474,24.042032,31.137527,-106.45357,-64.25523,0.15884477,-0.16574244,0.030487875,0.020146038,1805925
79000000,79000069,79000068,79000069,31,2.2394855,1.9795104,45,15.899753,27.946405,24.141825,20.85277,-85.471436,-55.875484,0.20134804,-0.030203933,-0.11164105,0.023565717,1805921
79000000,79000074,79000023,79000024,39,1.173417,0.0,20,15.982412,27.526278,23.500177,-35.308468,-89.70075,-92.13115,0.02762012,-3.7479092E-4,0.15865639,0.01318254,1802686
79000000,79000076,79000075,79000024,39,1.173417,0.0,21,15.982571,27.630045,23.570568,-75.331406,-72.399,-202.31503,-0.047991287,-0.026995327,-4.216324E-5,0.0100835515,1805985
79000000,79000110,79000103,79000110,26,3.3080978,1.032788,23,16.341866,28.543783,24.468676,16.162584,-41.418587,-43.922108,-0.084590815,-0.0472966,0.0014552593,0.0133711975,1805906
79000000,79000133,79000132,79000133,48,0.5085914,8.176239,74,15.898463,26.99133,22.794022,67.82479,-10.481971,-124.10992,-0.113183185,0.1766447,-0.03009753,0.023124697,1884725
79000000,79000167,79000166,79000167,51,0.36234027,6.7131224,79,15.5712385,27.396074,22.72004,76.023094,-97.04868,-137.74818,-0.029065058,-0.16181712,0.014542788,0.031033663,1887730
79000000,79000169,79000168,79000169,49,0.45657724,5.680334,78,15.52168,27.454367,22.842813,69.35969,-85.84416,-138.20076,-0.11685474,-0.18794508,-0.08874857,0.025498603,1887730
79000000,79000174,79000173,79000174,44,0.75503564,5.2500057,64,15.38947,27.63338,23.138483,54.66743,-69.71716,-138.78778,-0.19523011,-0.17344871,-0.03378839,0.02079603,1884820
79000000,79000176,79000175,79000176,42,0.9054624,4.3032837,57,15.324906,27.71765,23.257605,54.535057,-61.00237,-136.3118,-0.21419157,-0.11389354,-0.069556214,0.017868144,1884822
79000000,79000210,79000209,79000210,46,0.6235901,39.676273,444,15.580361,26.594736,22.56191,42.60428,-5.4467916,-130.77321,-0.9917578,-0.2956917,-1.2615747,0.047693826,1918670
79000000,79000233,79000232,79000233,23,4.1794686,5.7664,80,14.92756,26.898016,24.182549,39.35967,-11.74498,-105.99839,0.21673252,-0.0020911314,-0.103995204,0.013748279,1921441
79000000,79000267,79000266,79000267,28,2.8311827,4.6475463,59,15.441011,26.534899,23.411198,26.716286,-1.7665328,-85.48415,0.031045172,-0.062336143,-0.055337757,0.015695443,1921814
79000000,79000269,79000268,79000269,26,3.3080978,3.3565612,50,15.458275,26.553589,23.48985,26.765999,-4.1942625,-82.223274,0.03730792,-0.045621376,-0.055745143,0.014253693,1921709
79000000,79000274,79000273,79000274,21,4.888449,1.8073791,39,15.324943,26.587856,23.789047,30.503763,-6.33336,-82.95293,0.12981862,0.034081697,-0.0074833534,0.011071581,1921678
79000000,79000276,79000275,79000276,18,6.1968336,1.3770508,20,15.281964,26.576841,23.88183,36.436684,3.7698867,-71.44059,-0.05483847,0.02306638,-0.06524399,0.005294377,1921712
79000000,79000012,79000011,79000012,51,0.36234027,73.58615,896,15.997308,27.222893,22.757833,-24.159582,-96.3448,-154.47437,1.0935209,-0.54064167,-0.044060737,0.0715573,1806325
79000000,79000031,79000030,79000031,32,2.0700274,8.176239,145,15.903309,27.537699,24.068834,0.5714702,5.997999,-160.59563,0.059349816,0.24955781,-0.267397,0.025741128,1772273
79000000,79000046,79000045,79000046,26,3.3080978,1.549182,28,15.961926,27.778461,24.690714,14.186727,-34.78439,-145.35594,0.01069404,-0.024346665,-0.058845043,0.009457962,1887987
79000000,79000048,79000047,79000048,24,3.8656828,1.2909851,23,15.945627,27.814138,24.847902,10.833803,-25.388262,-137.135,-0.08416658,0.11074166,-0.073394105,0.010628766,1802727
79000000,79000061,79000060,79000061,25,3.575905,2.1516418,26,16.28586,27.922523,25.132265,-24.924856,-24.316235,-155.61086,0.006009018,0.075082794,0.01059038,0.009566365,1802841
79000000,79000095,79000094,79000095,35,1.6302707,11.963128,123,16.300234,28.194653,23.986712,-40.68314,-114.12278,-123.44355,-0.5003458,0.2736817,-0.036385275,0.02243812,1802893
79000000,79000097,79000096,79000097,33,1.9126327,11.963128,146,16.332308,28.309652,24.132425,-31.65828,-92.89778,-118.49963,-0.5878468,0.18452215,-0.13927658,0.024636207,1802846
79000000,79000112,79000111,79000112,23,4.1794686,1.2909851,20,16.317736,28.613995,24.56475,9.600762,-44.721306,-50.772182,-0.02592066,-0.06402594,0.040585365,0.010030065,1805901
79000000,79000131,79000130,79000013,50,0.40789944,0.0,77,15.95929,26.992071,22.702656,72.66497,13.618953,-115.60258,-0.13839293,0.099625,-0.002361918,0.020017954,1884725
79000000,79000146,79000145,79000146,35,1.6302707,5.8524656,74,15.51359,27.247402,23.66425,55.33829,-46.97552,-119.348526,-0.048794188,0.06040204,-0.012864983,0.023381451,1884677
79000000,79000148,79000147,79000148,33,1.9126327,4.8196774,52,15.445302,27.322338,23.772194,51.979458,-52.220562,-107.75623,-0.13978224,-0.1125042,-0.097390756,0.016149785,1884676
79000000,79000195,79000194,79000195,61,0.041403063,36.061516,446,15.789008,26.558182,21.99477,47.222427,-6.0591965,-84.89336,-0.31609702,-0.24220045,-1.2026759,0.047641553,1921462
79000000,79000197,79000196,79000197,59,0.08928783,35.545124,408,15.76974,26.577269,22.036963,47.44783,-7.7299275,-94.696236,-0.2520693,-0.22976957,-0.8187521,0.044822272,1921561
79000000,79000212,79000211,79000212,44,0.75503564,37.266438,347,15.513715,26.630335,22.706667,65.829704,-18.062325,-154.52225,-1.0062399,-0.35951582,-1.1381387,0.0406103,1918670
79000000,79000231,79000230,79000231,25,3.575905,8.9508295,105,14.972148,26.866316,24.076097,47.158916,-15.405157,-112.35412,0.19228643,-6.538107E-4,-0.044568922,0.012900115,1921462
79000000,79000246,79000245,79000246,30,2.422044,1.6352477,26,15.063327,26.210878,24.165663,26.453382,38.573986,-143.0218,0.05228829,0.07545445,-0.09901241,0.011654592,1921553
79000000,79000248,79000247,79000248,28,2.8311827,1.7213135,21,15.024105,26.16233,24.319738,28.129158,37.90768,-134.51364,0.037750732,0.052295793,-0.121808395,0.00897457,1918556
