scale M_vir R_vir R_max
2.830800e-01 1.756074e+08 1.431085e+01 4.369370e+00
2.794900e-01 1.592565e+08 1.385717e+01 3.570440e+00
2.759500e-01 1.528980e+08 1.367502e+01 3.326320e+00
2.724600e-01 1.666322e+08 1.407754e+01 3.877690e+00
2.690100e-01 1.602828e+08 1.390094e+01 3.689000e+00
2.656000e-01 1.651084e+08 1.404348e+01 3.890150e+00
2.622300e-01 1.748066e+08 1.431757e+01 4.846500e+00
2.589100e-01 1.679801e+08 1.413284e+01 4.447160e+00
2.556300e-01 1.542404e+08 1.374038e+01 3.814740e+00
2.524000e-01 2.014282e+08 1.502302e+01 7.129680e+00
2.492000e-01 1.993761e+08 1.497576e+01 6.333920e+00
2.460400e-01 1.873615e+08 1.467240e+01 5.208890e+00
2.429200e-01 1.850121e+08 1.461438e+01 5.870670e+00
2.398500e-01 1.438806e+08 1.344259e+01 3.891420e+00
2.368100e-01 1.485884e+08 1.359072e+01 4.268410e+00
2.338100e-01 1.443385e+08 1.346283e+01 4.425530e+00
2.308500e-01 1.550567e+08 1.379105e+01 5.651300e+00
2.279200e-01 1.654797e+08 1.409625e+01 7.461850e+00
2.250400e-01 1.632174e+08 1.403446e+01 6.811890e+00
2.221900e-01 1.652536e+08 1.409524e+01 6.781970e+00
2.193700e-01 1.621624e+08 1.400935e+01 6.442380e+00
2.165900e-01 1.411095e+08 1.337713e+01 4.994670e+00
2.138500e-01 1.172611e+08 1.257869e+01 3.461120e+00
2.111400e-01 1.215546e+08 1.273245e+01 3.856600e+00
2.084700e-01 1.283896e+08 1.296879e+01 4.750830e+00
2.058300e-01 1.284482e+08 1.297272e+01 4.909840e+00
2.032200e-01 1.398005e+08 1.334610e+01 6.546790e+00
2.006400e-01 1.299266e+08 1.302603e+01 5.112560e+00
1.981000e-01 1.446003e+08 1.350085e+01 6.608600e+00
1.955900e-01 1.333780e+08 1.314385e+01 5.426700e+00
1.931200e-01 1.486912e+08 1.363046e+01 8.763430e+00
1.906700e-01 1.503373e+08 1.368223e+01 9.926140e+00
1.882500e-01 1.500100e+08 1.367389e+01 1.052890e+01
1.858700e-01 1.532956e+08 1.377455e+01 1.085880e+01
1.835100e-01 1.512802e+08 1.371540e+01 9.192970e+00
1.811900e-01 1.547908e+08 1.382212e+01 8.559560e+00
1.789000e-01 7.125942e+07 1.067375e+01 3.118870e+00
1.766300e-01 7.280176e+07 1.075125e+01 3.366470e+00
1.743900e-01 6.410314e+07 1.030572e+01 2.575860e+00
1.721800e-01 6.593153e+07 1.040372e+01 2.714940e+00
1.700000e-01 6.145556e+07 1.016363e+01 2.682720e+00
1.678500e-01 5.220752e+07 9.626656e+00 1.744550e+00
1.657200e-01 6.321110e+07 1.026117e+01 2.600400e+00
1.636200e-01 7.015981e+07 1.062500e+01 3.800170e+00
1.615500e-01 6.109604e+07 1.014696e+01 2.966040e+00
1.595000e-01 5.885258e+07 1.002192e+01 2.727970e+00
1.574800e-01 5.306104e+07 9.682431e+00 2.304490e+00
1.554900e-01 6.166327e+07 1.018037e+01 3.321100e+00
1.535200e-01 6.036891e+07 1.010928e+01 3.208040e+00
1.515700e-01 5.274734e+07 9.665164e+00 2.522890e+00
1.496500e-01 4.842832e+07 9.394374e+00 2.263230e+00
1.477600e-01 7.110805e+07 1.067822e+01 6.498800e+00
1.458900e-01 5.728202e+07 9.936252e+00 3.420300e+00
1.440400e-01 5.943738e+07 1.005988e+01 3.924190e+00
1.422100e-01 5.849965e+07 1.000720e+01 4.062770e+00
1.404100e-01 5.241843e+07 9.648153e+00 3.100290e+00
1.386300e-01 5.012299e+07 9.505662e+00 2.946250e+00
1.368800e-01 5.100918e+07 9.561788e+00 3.148570e+00
1.351400e-01 5.641314e+07 9.888615e+00 4.073860e+00
