# Model integration test: stellar mass function z=0.0 [Git revision: Unknown]
0	0.00852906674202463	0.011935842728131	0.0149712599298112
1	0.00742968328036711	0.0104693426072745	0.0131805994674981
2	0.00602019541833806	0.00871452805265771	0.0105890090071428
3	0.00413683075957471	0.00596000964735071	0.00736975578548571
4	0.00131737087284027	0.00266775720409882	0.00364617604750158
5	0.000379313561494095	0.00076443486026069	0.00139000067679488
6	0	0.000220090089715893	0.000413341857566492
7	0	0	0
8	0	0	0
9	0	0	0
