# ./contra 1 1 2 0 0 10.0 0.0 0.15 0.03 1.0 0.0
# Modified model of Adiabatic Contraction
# Dark matter profile: Navarro, Frenk & White (1997) model, c=10
# Baryon distribution: Hernquist (1990) model, fb=0.15 rb=0.03
# Tracer population: power law model with isotropic velocity distribution
# los velocity dispersion integrated out to 1 R_vir
#
# r_i       r_f       m_i       m_f       rho_i     rho_f   gam_i gam_f   v_circ  sigma_los
1.995e-02 1.088e-02 8.900e-03 2.186e-02 1.583e+02 3.079e+02 1.333 1.772 1.539e+00 0.000e+00
2.239e-02 1.241e-02 1.090e-02 2.566e-02 1.355e+02 2.506e+02 1.366 1.805 1.563e+00 0.000e+00
2.512e-02 1.418e-02 1.332e-02 3.002e-02 1.155e+02 2.032e+02 1.402 1.839 1.585e+00 0.000e+00
2.818e-02 1.621e-02 1.623e-02 3.500e-02 9.811e+01 1.641e+02 1.440 1.872 1.602e+00 0.000e+00
3.162e-02 1.854e-02 1.971e-02 4.067e-02 8.293e+01 1.320e+02 1.481 1.905 1.616e+00 0.000e+00
3.548e-02 2.124e-02 2.385e-02 4.710e-02 6.976e+01 1.058e+02 1.524 1.937 1.626e+00 0.000e+00
3.981e-02 2.434e-02 2.876e-02 5.437e-02 5.838e+01 8.453e+01 1.569 1.970 1.633e+00 0.000e+00
4.467e-02 2.791e-02 3.455e-02 6.256e-02 4.860e+01 6.725e+01 1.618 2.002 1.636e+00 0.000e+00
5.012e-02 3.202e-02 4.133e-02 7.175e-02 4.023e+01 5.331e+01 1.668 2.034 1.635e+00 0.000e+00
5.623e-02 3.676e-02 4.924e-02 8.201e-02 3.310e+01 4.210e+01 1.720 2.066 1.631e+00 0.000e+00
6.310e-02 4.220e-02 5.841e-02 9.344e-02 2.707e+01 3.313e+01 1.774 2.098 1.625e+00 0.000e+00
7.079e-02 4.847e-02 6.896e-02 1.061e-01 2.200e+01 2.597e+01 1.829 2.131 1.615e+00 0.000e+00
7.943e-02 5.565e-02 8.104e-02 1.201e-01 1.777e+01 2.028e+01 1.885 2.163 1.602e+00 0.000e+00
8.913e-02 6.390e-02 9.477e-02 1.356e-01 1.425e+01 1.578e+01 1.942 2.196 1.588e+00 0.000e+00
1.000e-01 7.334e-02 1.103e-01 1.525e-01 1.136e+01 1.224e+01 2.000 2.228 1.571e+00 0.000e+00
1.122e-01 8.414e-02 1.277e-01 1.710e-01 8.992e+00 9.449e+00 2.058 2.261 1.551e+00 0.000e+00
1.259e-01 9.648e-02 1.471e-01 1.911e-01 7.072e+00 7.269e+00 2.115 2.294 1.531e+00 0.000e+00
1.413e-01 1.106e-01 1.685e-01 2.130e-01 5.526e+00 5.571e+00 2.171 2.328 1.508e+00 0.000e+00
1.585e-01 1.266e-01 1.921e-01 2.366e-01 4.290e+00 4.253e+00 2.226 2.361 1.484e+00 0.000e+00
1.778e-01 1.448e-01 2.180e-01 2.620e-01 3.310e+00 3.235e+00 2.280 2.394 1.459e+00 0.000e+00
1.995e-01 1.656e-01 2.460e-01 2.892e-01 2.538e+00 2.451e+00 2.332 2.427 1.433e+00 0.000e+00
2.239e-01 1.891e-01 2.763e-01 3.183e-01 1.935e+00 1.850e+00 2.382 2.460 1.405e+00 0.000e+00
2.512e-01 2.158e-01 3.088e-01 3.493e-01 1.467e+00 1.391e+00 2.431 2.492 1.377e+00 0.000e+00
2.818e-01 2.460e-01 3.435e-01 3.821e-01 1.106e+00 1.042e+00 2.476 2.523 1.348e+00 0.000e+00
3.162e-01 2.802e-01 3.804e-01 4.168e-01 8.293e-01 7.781e-01 2.519 2.554 1.318e+00 0.000e+00
3.548e-01 3.189e-01 4.194e-01 4.533e-01 6.190e-01 5.789e-01 2.560 2.584 1.288e+00 0.000e+00
3.981e-01 3.626e-01 4.604e-01 4.916e-01 4.600e-01 4.292e-01 2.599 2.613 1.257e+00 0.000e+00
4.467e-01 4.120e-01 5.033e-01 5.316e-01 3.403e-01 3.172e-01 2.634 2.640 1.226e+00 0.000e+00
5.012e-01 4.677e-01 5.481e-01 5.734e-01 2.508e-01 2.337e-01 2.668 2.667 1.194e+00 0.000e+00
5.623e-01 5.306e-01 5.947e-01 6.168e-01 1.842e-01 1.717e-01 2.696 2.690 1.163e+00 0.000e+00
6.310e-01 6.015e-01 6.429e-01 6.617e-01 1.348e-01 1.258e-01 2.732 2.723 1.131e+00 0.000e+00
7.079e-01 6.815e-01 6.926e-01 7.081e-01 9.829e-02 9.184e-02 2.735 2.718 1.099e+00 0.000e+00
7.943e-01 7.715e-01 7.438e-01 7.560e-01 7.157e-02 6.701e-02 2.818 2.809 1.067e+00 0.000e+00
8.913e-01 8.730e-01 7.963e-01 8.052e-01 5.172e-02 4.847e-02 2.725 2.701 1.035e+00 0.000e+00
1.000e+00 9.873e-01 8.500e-01 8.558e-01 3.837e-02 3.615e-02 2.593 2.548 1.003e+00 0.000e+00
